,urls
174,https://dodgers.mlblogs.com/will-smiths-first-career-homer-is-another-dodger-walk-off-winner-229dafed025e?source=topic_page---------857------------------1
175,https://thewatertoweronline.com/tales-from-the-road-13571dd7348f?source=topic_page---------858------------------1
176,https://arcdigital.media/sport-is-a-human-right-so-let-trans-women-compete-2db252184fe?source=topic_page---------859------------------1
177,https://towardsdatascience.com/pandas-for-football-player-value-936c3243bd9a?source=topic_page---------860------------------1
178,https://medium.com/swlh/how-can-we-be-more-clutch-6841f605f7ae?source=topic_page---------861------------------1
179,https://medium.com/@fogdweller/soccer-dividing-and-uniting-one-family-since-2008-95d262efc76c?source=topic_page---------862------------------1
180,https://medium.com/@jacobshafer_76156/errors-and-averages-a-eulogy-for-bill-buckner-17f05cb73d06?source=topic_page---------863------------------1
181,https://medium.com/behind-local-news-uk/sure-bad-news-sells-but-its-success-that-excels-for-football-fans-anyway-fc5d3b793470?source=topic_page---------864------------------1
182,https://medium.com/@shotarohondamoore/a-look-ahead-predicting-frances-tokyo-2020-men-s-olympic-roster-aece7c4ed47f?source=topic_page---------865------------------1
183,https://medium.com/@jamiemah/could-stephen-curry-crack-the-nbas-top-10-all-time-a3fae7a8537c?source=topic_page---------866------------------1
184,https://medium.com/scrimmage/the-all-english-road-to-madrid-6b6776e809ba?source=topic_page---------867------------------1
185,https://medium.com/talkin-bout-praxis/why-are-sports-movies-so-bad-c1d77d1ac9e6?source=topic_page---------868------------------1
186,https://medium.com/datacomics/statistical-significance-of-curse-of-béla-guttmann-16aae3c446a5?source=topic_page---------869------------------1
187,https://medium.com/@wheatonbrando/is-spelling-a-sport-scripps-national-spelling-bee-sriram-hathwar-pratyush-buddiga-sports-television-espn-1fb0196ee196?source=topic_page---------870------------------1
188,https://medium.com/@secretcoran/becoming-a-better-sports-parent-daec30462256?source=topic_page---------871------------------1
189,https://medium.com/the-sports-niche/french-open-2019-predictions-will-rafael-nadal-extend-his-reign-in-parisian-clay-c82e93ddef93?source=topic_page---------872------------------1
190,https://medium.com/@frisconative416/finding-a-balance-24ad0d6db79a?source=topic_page---------873------------------1
191,https://medium.com/@bhrenton/a-note-on-college-athletics-127644e63ee3?source=topic_page---------874------------------1
